timestamps,X,Y,Z
1699986372.970,0.273,0.010,0.968
1699986372.970,0.271,0.012,0.963
1699986373.031,0.272,0.005,0.959
1699986373.031,0.269,0.006,0.953
1699986373.031,0.269,0.005,0.952
1699986373.091,0.270,0.009,0.955
1699986373.091,0.276,0.007,0.963
1699986373.091,0.279,0.013,0.962
1699986373.153,0.276,0.009,0.970
1699986373.153,0.271,0.007,0.966
1699986373.153,0.275,0.004,0.955
1699986373.210,0.272,0.006,0.960
1699986373.210,0.270,0.006,0.966
1699986373.210,0.275,0.012,0.962
1699986373.269,0.275,0.011,0.961
1699986373.269,0.274,0.012,0.959
1699986373.269,0.274,0.008,0.958
1699986373.318,0.272,0.008,0.958
1699986373.318,0.272,0.010,0.962
1699986373.318,0.269,0.013,0.962
1699986373.395,0.271,0.011,0.962
1699986373.395,0.272,0.010,0.963
1699986373.395,0.269,0.011,0.960
1699986373.440,0.268,0.009,0.965
1699986373.440,0.268,0.013,0.962
1699986373.440,0.272,0.010,0.958
1699986373.510,0.272,0.009,0.960
1699986373.510,0.273,0.009,0.960
1699986373.510,0.277,0.010,0.959
1699986373.558,0.276,0.010,0.958
1699986373.558,0.280,0.009,0.957
1699986373.558,0.281,0.007,0.961
1699986373.617,0.276,0.009,0.963
1699986373.617,0.277,0.006,0.962
1699986373.617,0.274,0.003,0.958
1699986373.690,0.272,0.003,0.962
1699986373.690,0.270,0.004,0.960
1699986373.690,0.280,0.005,0.953
1699986373.734,0.278,0.010,0.960
1699986373.734,0.282,0.007,0.965
1699986373.734,0.283,0.009,0.961
1699986373.794,0.283,0.008,0.953
1699986373.794,0.287,0.007,0.951
1699986373.794,0.290,0.006,0.951
1699986373.859,0.296,0.007,0.954
1699986373.859,0.300,0.012,0.959
1699986373.859,0.300,0.007,0.960
1699986373.914,0.298,0.008,0.966
1699986373.914,0.297,0.005,0.965
1699986373.914,0.300,0.003,0.950
1699986373.975,0.293,0.004,0.956
1699986373.975,0.289,0.000,0.968
1699986373.975,0.293,0.001,0.957
1699986374.037,0.297,-0.003,0.948
1699986374.037,0.298,0.002,0.946
1699986374.037,0.306,0.003,0.951
1699986374.095,0.308,0.007,0.951
1699986374.095,0.301,0.006,0.953
1699986374.095,0.295,0.008,0.957
1699986374.155,0.287,0.008,0.960
1699986374.155,0.280,0.006,0.960
1699986374.155,0.274,0.008,0.965
1699986374.216,0.267,0.014,0.967
1699986374.216,0.264,0.011,0.967
1699986374.216,0.266,0.005,0.961
1699986374.277,0.257,0.009,0.961
